question_id,answer,grade
2,فاس,2
2,فاس,2
2,فاس,2
2,مراكش,0
2,طنجة,0
2,طنجة,0
2,مكناس,0
2,فاس,2
2,مكناس,0
2,فاس,2
2,فاس,2
2,مراكش,0
2,طنجة,0
2,طنجة,0
2,مراكش,0
2,مكناس,0
2,فاس,2
2,فاس,2
2,فاس,2
2,طنجة,0
2,فاس,2
2,بنا الأدارسة المغاربة مدينة فاس التي أصبحت العاصمة الأولى للسلالة بعد وليلي,2
2,بنيت الإدريسيون مدينة الدار البيضاء وأصبحت عاصمة السلالة بعد وليلي.,0
2,ازدهرت مدينة فاس تحت حكم الإدريسيين وكانت عاصمة السلالة,2
2,بعد أن بنى الإدريسيون مدينة فاس، تحولت إلى مركز تعليمي وثقافي هام في المغرب.,1
2,رباط,0
2,وليلي,0
2,فاس  و تعتبر واحدة من أقدم المدن المأهولة في المغرب وشمال إفريقيا.,2
2,فس,1
2,العاصمة العلمية فاس,2
2,فاسي,1
2,مدينة فاس,2
2,فاس المدينة,2
2,المدينة العتيقة فاس,2
2,مدينة مكناس,0
2,فاس او مكناس,1
2,هي المدينة التي تضم اقدم جامعة بالعالم,1
2,اقدم مدينة في المغرب,1
2,.,0
2,لا اعلم,0
2,تطوان,0
2,الحسيمة,0
2,طنجة,0
2,تازة,0
2,ساف,0
2,مد فاس,1
2,فا,0
2,كانت فاس,2
2,فاس، المدينة العتيقة,2
2,فاس البالية، العاصمة القديمة للأدريسيين,2
2,مدينة العلم والثقافة في المغرب، فاس,2
2,مدينة الأزقة الضيقة والأسواق الحمراء، فاس,2
2,عاصمة العمارة المغربية التقليدية، فاس,2
2,مدينة التراث العالمي المحمي من قبل اليونسكو، فاس,2
2,مدينة الكتبة والعلماء العرب الشهيرة، فاس,2
2, مركز الدراسة والتعليم العالي في المغرب، فاس,2
2,واحدة من أقدم المدن المغربية المزدهرة، فاس,2
2,مدينة الحكم الأدريسي الذي أسس سلالة مهمة في التاريخ المغربي، فاس,2
2,مدينة الجامعة القروية، فاس,2
2,مدينة الفنون والحرف التقليدية التي تشتهر بها، فاس,2
2,مدينة المؤنسة والأجواء الودية، فاس,2
2,مكناس، المدينة التاريخية الجذابة بقصورها وأسواقها التقليدية.,1
2,الرباط، المدينة التي تجمع بين التاريخ والحداثة,1
2,الرباط، العاصمة الحالية للمغرب,1
2,مكناس، المدينة التي شهدت تطورًا كبيرًا في عهد الأدريسيين,1
2,مراكش، المدينة الأخرى المهمة في التاريخ المغربي,1
2,مكناس، المدينة التي شهدت نهضة ثقافية ومعمارية تحت حكم الأدريسيين.,1
2,مكناس، المدينة التاريخية التي تعكس العمارة الإسلامية الرائعة والأسواق التقليدية,1
2,المدينة التاريخية,0
2,باريس,0
2,العيون,0
2,المدينة التي شهدت نهضة ثقافية ومعمارية تحت حكم الأدريسيين,0
2,تنككطجح,0
2,مدينة العرائش,0
2,مراكش، المدينة السياحية الشهيرة بالمعالم التاريخية والثقافية,1
2,مكناس، المدينة التاريخية التي تعكس تراث السلالة الأدارسية,1
2,الرباط، المدينة التي توفر البنية التحتية الحديثة والخدمات الحكومية,1
2,فاس، المدينة الثقافية والتعليمية التي استضافت الأدارسة وأصبحت مركزًا حضريًا مزدهرًا,1
2,مراكش، المدينة التي احتضنت الأدارسة وأصبحت مركزًا ثقافيًا واقتصاديًا رائعًا,1
2,مكناس، المدينة التي تمتاز بمعمارها التاريخي الفريد والأجواء الرومانسية,1
2,طنجة، المدينة التي تجمع بين التراث التاريخي والأسواق الحديثة والشواطئ الرائعة,1
2,طنجة، المدينة التي تجمع بين التراث التاريخي والأسواق الحديثة والشواطئ الرائعة,1
2,الرباط، المدينة التي تعكس الروح الحضرية والتطور الحديث في المغرب,1
2,المدينة التي تتميز بالأزقة الضيقة والمساجد الرائعة والمدارس القديمة,1
2,مدينة جامعة القرويين,1
2,مدينة التي تضم اقدم جامعة في العالم,1
2,صفرو,1
2,مدينة صفرو,1
2,مدينة مكناس,1
2,تارودانت,0
2,العاصمة العلمية  للمغرب,1
